Question	Answer	Source
Microsoft Azure DocumentDB とは	\n\nMicrosoft Azure DocumentDB は、超高速かつ世界規模の NoSQL ドキュメント データベースを提供する、サービスとしてのデータベースです。Microsoft Azure の強力な機能と守備範囲に支えられた管理プラットフォームを通じて、スキーマフリーのデータに対して高度なクエリを実行できるほか、構成可能で信頼性の高いパフォーマンスや、迅速な開発が実現できます。 DocumentDB は、予測可能なスループット、高い可用性、遅延時間の短縮、およびスキーマフリー データ モデルが重要な要件となる、Web、モバイル、ゲーム、IoT の各アプリケーションに適したソリューションです。 DocumentDB では、ネイティブ JSON データ モデルでスキーマの柔軟性と豊富なインデックス作成機能が提供され、統合 JavaScript でマルチドキュメント トランザクションがサポートされます。 \n\nデータベース質問および回答の詳細と、このサービスのデプロイおよび使用の手順については、 [DocumentDB ドキュメント ページ](https://azure.microsoft.com/documentation/services/documentdb/)を参照してください。\n	https://docs.microsoft.com/ja-jp/azure/documentdb/documentdb-faq
DocumentDB はどのような種類のデータベースですか?	DocumentDB は、JSON 形式でデータを格納する NoSQL ドキュメント指向のデータベースです。 DocumentDB では、高度な DocumentDB [SQL クエリ文法](https://docs.microsoft.com/ja-jp/azure/documentdb/documentdb-sql-query)で照会できる入れ子になった自立的データ構造がサポートされます。 DocumentDB では、[ストアド プロシージャ、トリガー、およびユーザー定義関数](https://docs.microsoft.com/ja-jp/azure/documentdb/documentdb-programming)を使用して、サーバー側 JavaScript のトランザクション処理を高いパフォーマンスで実行できます。 また、開発者によって調整可能な一貫性レベルを、関連付けられた [パフォーマンス レベル](https://docs.microsoft.com/ja-jp/azure/documentdb/documentdb-performance-levels)と共にサポートします。	https://docs.microsoft.com/ja-jp/azure/documentdb/documentdb-faq
DocumentDB データベースはリレーショナル データベース (RDBMS) のようなテーブルを保持しますか?	いいえ、DocumentDB は JSON ドキュメントのコレクション内にデータを格納します。 DocumentDB のリソースの詳細については、「 [DocumentDB のリソース モデルと概念](https://docs.microsoft.com/ja-jp/azure/documentdb/documentdb-resources)」を参照してください。 DocumentDB のような NoSQL ソリューションとリレーショナル ソリューションの相違点の詳細については、「 [NoSQL 対 SQL](https://docs.microsoft.com/ja-jp/azure/documentdb/documentdb-nosql-vs-sql)	https://docs.microsoft.com/ja-jp/azure/documentdb/documentdb-faq
DocumentDB データベースはスキーマフリー データをサポートしますか?	はい、DocumentDB ではスキーマ定義またはヒントなしで、アプリケーションが任意の JSON ドキュメントを格納できます。 DocumentDB SQL クエリ インターフェイスを使用したクエリに、データをすぐに利用できます。	https://docs.microsoft.com/ja-jp/azure/documentdb/documentdb-faq
DocumentDB は ACID トランザクションをサポートしますか?	はい、DocumentDB では、JavaScript ストアド プロシージャおよびトリガーとして表現されるクロスドキュメント トランザクションをサポートします。 トランザクションは、各コレクション内の単一のパーティションを対象とし、他の同時実行されるコードおよびユーザー要求から完全に分離された ACID セマンティクスで実行されます。 JavaScript アプリケーション コードのサーバー側実行により例外がスローされた場合は、トランザクション全体がロールバックされます。 トランザクションの詳細については、「 [プログラム データベース トランザクション](https://docs.microsoft.com/ja-jp/azure/documentdb/documentdb-programming#database-program-transactions)	https://docs.microsoft.com/ja-jp/azure/documentdb/documentdb-faq
DocumentDB の一般的な使用事例にはどのようなものがありますか?	DocumentDB は、自動スケール、予測可能なパフォーマンス、ミリ秒レベルの高速な応答時間、およびスキーマフリー データに対してクエリを実行できることが重要である新しい Web アプリケーション、モバイル アプリケーション、ゲーム、IoT アプリケーションに適しています。 DocumentDB は、迅速な開発に役立ち、アプリケーション データ モデルの継続的な反復をサポートします。 ユーザーが生成したコンテンツとデータを管理するアプリケーションは、 [DocumentDB の一般的な使用事例](https://docs.microsoft.com/ja-jp/azure/documentdb/documentdb-use-cases)です。	https://docs.microsoft.com/ja-jp/azure/documentdb/documentdb-faq
DocumentDB では、予測可能なパフォーマンスをどのようにして実現していますか?	\n\nDocumentDB ではスループットの単位として [要求ユニット](https://docs.microsoft.com/ja-jp/azure/documentdb/documentdb-request-units) (RU) を使用します。 1 RU は、1KB のドキュメントを取得するスループットに相当します。 DocumentDB におけるすべての操作 (読み取り、書き込み、SQL クエリ、ストアド プロシージャの実行など) には、操作を完了するのに必要なスループットに基づいて、明確な RU 値が設定されています。 CPU、IO、メモリや、これらがアプリケーションのスループットに及ぼす影響を考慮する代わりに、RU という 1 つの単位を基にして考えることができます。\n\nDocumentDB の各コレクションを予約する際は、1 秒あたりのスループットを表す RU を単位としてプロビジョニングされたスループットを使用できます。 アプリケーションがどのようなサイズでも、個々の要求のベンチマークを実行して RU 値を測定し、すべての要求の要求ユニットの合計に対処できるようコレクションをプロビジョニングすることができます。 アプリケーションのニーズの進化に合わせて、コレクションのスループットをスケールアップしたりスケールダウンしたりすることもできます。 要求ユニットの詳細やコレクションのニーズを判断する方法については、「[スループットのニーズの推定](https://docs.microsoft.com/ja-jp/azure/documentdb/https://docs.microsoft.com/ja-jp/azure/documentdb/documentdb-request-units#estimating-throughput-needs)」を参照して、[スループット計算ツール](https://www.documentdb.com/capacityplanner)をお試しください。\n	https://docs.microsoft.com/ja-jp/azure/documentdb/documentdb-faq
DocumentDB HIPAA は準拠していますか?	はい、DocumentDB は HIPAA に準拠しています。 HIPAA は、個別に識別できる医療情報の使用、開示、および保護するための要件を確立しています。 詳細については、[Microsoft セキュリティ センター](https://www.microsoft.com/en-us/TrustCenter/Compliance/HIPAA)を参照してください。	https://docs.microsoft.com/ja-jp/azure/documentdb/documentdb-faq
DocumentDBのでコレクションでストレージに格納可能な合計データ量に制限はありますか?	DocumentDB でコレクションが格納できる合計データ量には、制限はありません。	https://docs.microsoft.com/ja-jp/azure/documentdb/documentdb-faq
DocumentDB のスループット制限とは何ですか?	十分な数のパーティション キーにワークロードをほぼ均等に分散できる場合は、DocumentDB でコレクションがサポートできるスループットの合計量には、制限はありません。	https://docs.microsoft.com/ja-jp/azure/documentdb/documentdb-faq
